Type,Price/m,Bedrooms,Location,Area,URL
Flat,K7000,2,,Lusaka | libala-south,https://sakilahomes.com/post/2373/2-bedroom--libala-south--k7000/
house,K7500,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2374/2-bedroom--ibex-hill--k7500/
bedsitter,K5500,1,,Lusaka | kabulonga,https://sakilahomes.com/post/2375/bedsitter--kabulonga-k5500/
Flat,K7000,3,,Lusaka | salama park,https://sakilahomes.com/post/2376/3-bedroom--salama-park--k7000/
house,K10000,3,,Lusaka | ibex hill,https://sakilahomes.com/post/2377/3-bedroom--ibex-hill--k10000/
house,K9500,3,,Lusaka | chalala,https://sakilahomes.com/post/2378/3-bedroom--chalala--k9500/
Flat,K7500,3,,Lusaka | new kasama,https://sakilahomes.com/post/2379/2-bedroom--new-kasama-k7500/
Flat,K4500,2,,Lusaka | chalala,https://sakilahomes.com/post/2380/2-bedroom--chalala--k4500/
house,K7500,4,,Lusaka | chamba valley,https://sakilahomes.com/post/2381/4-bedroom-chamba-valley-k7500/
Flat,K10000,2,,Lusaka | meanwood,https://sakilahomes.com/post/2382/2-bedroom--ibex-mean-wood--k10000/
boarding_house,K2000,2,,Lusaka | chainama,https://sakilahomes.com/post/2383/boarding-house--chainama-k2000/
Flat,K8500,2,,Lusaka | new kasama,https://sakilahomes.com/post/2316/2-bedroom--new-kasama--k8500/
Flat,K6500,2,,Lusaka | woodlands,https://sakilahomes.com/post/2317/2-bedroom--woodlands--k6500/
house,K8500,3,,Lusaka | salama park,https://sakilahomes.com/post/2318/3-bedroom--salama-park--k8500/
house,K10000,4,,Lusaka | makeni,https://sakilahomes.com/post/2319/4-bedroom-makeni--k10000/
house,K7500,4,,Lusaka | chamba valley,https://sakilahomes.com/post/2320/4-bedroom-chamba-valley-k7500/
Flat,K5500,3,,Lusaka | meanwood,https://sakilahomes.com/post/2321/3-bedroom-meanwood-vorna-valley-k5500/
house,K8000,3,,Lusaka | meanwood,https://sakilahomes.com/post/2322/3-bedroom-meanwood-kwamwena-k8000/
house,K9000,3,,Lusaka | obama,https://sakilahomes.com/post/2323/3-bedroom-obama--k9000/
